light_id,x,y,z,status,hits,bounce0_nodes,bounce1_nodes,contributions
372,0.246,2.161,0.350,SCENE_VALID,1,1,1,0
373,-0.251,1.815,-0.163,SCENE_VALID,1,1,1,0
374,-0.360,2.030,-0.090,SCENE_VALID,0,0,0,0
375,0.087,2.154,0.307,SCENE_VALID,1,1,0,0
376,0.400,1.811,-0.400,SCENE_VALID,1,1,0,0
377,0.095,2.041,0.330,SCENE_VALID,1,1,0,0
378,-0.357,2.146,-0.127,SCENE_VALID,0,0,0,0
379,-0.257,1.808,-0.127,SCENE_VALID,1,1,0,0
380,0.240,2.052,0.330,SCENE_VALID,1,1,1,0
381,0.366,2.139,-0.400,SCENE_VALID,1,1,0,0
382,-0.073,1.805,0.307,SCENE_VALID,1,1,1,0
383,-0.400,2.063,-0.091,SCENE_VALID,0,0,0,0
384,-0.109,2.130,-0.163,SCENE_VALID,0,0,0,0
385,0.350,1.803,0.350,SCENE_VALID,1,1,1,0
386,0.269,2.073,-0.396,SCENE_VALID,1,1,1,0
387,-0.227,2.122,0.282,SCENE_VALID,1,1,1,0
388,-0.372,1.801,-0.053,SCENE_VALID,1,1,0,0
389,0.058,2.083,-0.197,SCENE_VALID,0,0,0,0
390,0.399,2.113,0.367,SCENE_VALID,1,1,0,0
391,0.124,1.800,-0.389,SCENE_VALID,1,1,1,0
392,-0.342,2.093,0.253,SCENE_VALID,0,0,0,0
393,-0.280,2.103,-0.015,SCENE_VALID,1,1,1,0
394,0.215,1.800,-0.229,SCENE_VALID,1,1,1,0
395,0.378,2.103,0.380,SCENE_VALID,1,1,1,0
396,-0.043,2.093,-0.378,SCENE_VALID,1,1,1,0
397,-0.397,1.800,0.222,SCENE_VALID,1,1,1,0
398,-0.138,2.113,0.023,SCENE_VALID,1,1,1,0
399,0.334,2.083,-0.259,SCENE_VALID,1,1,0,0
400,0.290,1.801,0.390,SCENE_VALID,1,1,0,0
401,-0.202,2.122,-0.364,SCENE_VALID,1,1,0,0
402,-0.382,2.073,0.190,SCENE_VALID,1,1,0,0
403,0.028,1.803,0.061,SCENE_VALID,1,1,0,0
404,0.395,2.130,-0.287,SCENE_VALID,1,1,1,0
405,0.152,2.063,0.397,SCENE_VALID,1,1,1,0
406,-0.325,1.805,-0.346,SCENE_VALID,1,1,0,0
407,-0.301,2.139,0.155,SCENE_VALID,1,1,0,0
408,0.189,2.052,0.098,SCENE_VALID,0,0,0,0
409,0.386,1.808,-0.312,SCENE_VALID,1,1,0,0
410,-0.013,2.146,0.400,SCENE_VALID,1,1,1,0
411,-0.392,2.041,-0.326,SCENE_VALID,1,1,0,0
412,-0.166,1.811,0.120,SCENE_VALID,1,1,1,0
413,0.316,2.154,0.135,SCENE_VALID,1,1,0,0
414,0.310,2.030,-0.335,SCENE_VALID,1,1,1,0
415,-0.175,1.815,0.399,SCENE_VALID,1,1,1,0
416,-0.390,2.161,-0.302,SCENE_VALID,1,1,0,0
417,-0.003,2.019,0.083,SCENE_VALID,1,1,0,0
418,0.389,1.820,0.170,SCENE_VALID,1,1,0,0
419,0.180,2.167,-0.354,SCENE_VALID,1,1,0,0
420,-0.307,2.008,0.395,SCENE_VALID,1,1,0,0
421,-0.320,1.825,-0.276,SCENE_VALID,1,1,0,0
422,0.161,2.173,0.045,SCENE_VALID,1,1,0,0
423,0.393,1.997,0.204,SCENE_VALID,1,1,1,0
424,0.018,1.830,-0.370,SCENE_VALID,1,1,0,0
425,-0.385,2.178,0.387,SCENE_VALID,1,1,0,0
426,-0.193,1.986,-0.247,SCENE_VALID,1,1,1,0
427,0.297,1.837,0.007,SCENE_VALID,1,1,0,0
428,0.328,2.183,0.236,SCENE_VALID,1,1,0,0
429,-0.147,1.975,-0.383,SCENE_VALID,1,1,0,0
